activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
URUGANDA RW'IKAWA,uruganda rw'ikawa,1104,1104,1104,4,4, Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of soft drinks; production of mineral waters and other bottled waters, Manufacture of soft drinks; production of mineral waters and other bottled waters,5555
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
BAKORA AMASUKU MU BUSITANI,bakora amasuku mu busitani,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
batanga service za restaurent,batanga service za restaurent,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBWUBATSI BWAMAZU,ubwubatsi bwamazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
Badandaza Ibyombo muri detail,badandaza ibyombo muri detail,4759,4759,4759,4,4,"Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores",4759
"gucuruza ibiribwa birimo umuceri,ifu,umunyu nibindi","gucuruza ibiribwa birimo umuceri,ifu,umunyu nibindi",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
ubucuruzi bwa telephona na Acessoir,ubucuruzi bwa telephona na acessoir,4741,4741,4741,4,4,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741
BAR RESTO,bar resto,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
gusana lmyenda ubudozi,gusana lmyenda ubudozi,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
IMIRIMO YURUGO,imirimo yurugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
GUHA ABANTU IBYOKURYA,guha abantu ibyokurya,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
kubitsa no kubikuza amafaranga,kubitsa no kubikuza amafaranga,6419,6419,6419,4,4,Other monetary intermediation,Other monetary intermediation,Other monetary intermediation,6419
ubudozi bw'imyenda  ya matisi,ubudozi bw'imyenda ya matisi,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
GUSUKA IMISATSI,gusuka imisatsi,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUHINZI BWIBIGOLI,ubuhinzi bwibigoli,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
Ubucuruzi bw'ikigage butarenza litiro 20 kumunsi,ubucuruzi bw'ikigage butarenza litiro 20 kumunsi,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUHINZI BWOROZI BWO GUTUNGA URUGO,ubuhinzi bworozi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
ubucuruzi budandaza ibyo kurya,ubucuruzi budandaza ibyo kurya,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BW'AMASHYAMBA,ubuhinzi bw'amashyamba,210,210,210,3,4,Silviculture and other forestry activities,Silviculture and other forestry activities,Silviculture and other forestry activities,5555
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
ubucuruzi budandaza higanjemo ibyo kurya,ubucuruzi budandaza higanjemo ibyo kurya,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUDANDAZI BWIMYENDA MU MIHANDA,ubudandazi bwimyenda mu mihanda,4799,4799,4799,4,4,"Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets",4799
Kogosha Umusatsi,kogosha umusatsi,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUHINZI NGANDURARUGO,ubuhinzi ngandurarugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
GUSANA IMYENDA YAKOZE,gusana imyenda yakoze,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
UBUHINZI BWA KAROTI,ubuhinzi bwa karoti,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBUCURUZI BWINZOGA ZIFPUNDIKIYE ZA KIZUNGU,ubucuruzi bwinzoga zifpundikiye za kizungu,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
imikino y'amahigwe ya biyari,imikino y'amahigwe ya biyari,9311,9311,9311,4,4,Operation of sports facilities,Operation of sports facilities,Operation of sports facilities,9999
IVUGABUTUMWA,ivugabutumwa,9491,9491,9491,4,4,Activities of religious organizations,Activities of religious organizations,Activities of religious organizations,9491
gufotora no kwandikisha kuri machine,gufotora no kwandikisha kuri machine,8219,8219,8219,4,4,"Photocopying, document preparation and other specialized office support activities","Photocopying, document preparation and other specialized office support activities","Photocopying, document preparation and other specialized office support activities",8219
kogosha,kogosha,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
kudandaza higanjemo ibyo kurya,kudandaza higanjemo ibyo kurya,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
ubudandazi bw'ibiribwa,ubudandazi bw'ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
IMIRIMO YO MU RUGO,imirimo yo mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
UBUREZI BWAMASHURI ABANZA,uburezi bwamashuri abanza,8510,8510,8510,4,4,Pre-primary and primary education,Pre-primary and primary education,Pre-primary and primary education,8510
"ubucuruzi budandaza bwibiribwa bwiganjemo(inyanya,ifu,jus,biscuit,indazi,umuceri,....)","ubucuruzi budandaza bwibiribwa bwiganjemo(inyanya,ifu,jus,biscuit,indazi,umuceri,....)",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUCURUZI BUDANDAZA BWIGANJEMO IBYO KUNYWA,ubucuruzi budandaza bwiganjemo ibyo kunywa,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
ubucuruzi bwimboga,ubucuruzi bwimboga,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
IMPORTATION AND DISTRIBUTION( TRADING OF GOODS),importation and distribution( trading of goods),4610,4610,4610,4,4,Wholesale on a fee or contract basis,Wholesale on a fee or contract basis,Wholesale on a fee or contract basis,9999
UBUREZI MU MASHURI YISUMBUYE,uburezi mu mashuri yisumbuye,8521,8521,8521,4,4,General secondary education,General secondary education,General secondary education,8521
ubucuruzi budandaza bwi imyenda yabagabo,ubucuruzi budandaza bwi imyenda yabagabo,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
SEED MULTIPLICATION,seed multiplication,164,164,164,3,4,Seed processing for propagation,Seed processing for propagation,Seed processing for propagation,9999
"umudandazi wifu (KAWUNGA, UBUGARI)","umudandazi wifu (kawunga, ubugari)",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUDANDAZI BW'IKORESHO ELECTRONIQUE MU MUHANDA,ubudandazi bw'ikoresho electronique mu muhanda,4799,4799,4799,4,4,"Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets",4799
UBUDANDAZI BWIGANJEMO UBUCUNSHO,ubudandazi bwiganjemo ubucunsho,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
ubucuruzi budandaza imyenda,ubucuruzi budandaza imyenda,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
KWIGISHA ABANA MU MASHURI ATANDATU ABANZA,kwigisha abana mu mashuri atandatu abanza,8510,8510,8510,4,4,Pre-primary and primary education,Pre-primary and primary education,Pre-primary and primary education,8510
UBUDOZI BWINKWETO ZITANDUKANYE,ubudozi bwinkweto zitandukanye,1520,1520,1520,4,4, Manufacture of footwear,Manufacture of footwear, Manufacture of footwear,5555
UBUHINZI BWOROZI BYO GUTUNGA URUGO,ubuhinzi bworozi byo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
ubucuruzi bw'amakara,ubucuruzi bw'amakara,4789,4789,4789,4,4,Retail sale via stalls and markets of other goods,Retail sale via stalls and markets of other goods,Retail sale via stalls and markets of other goods,4789
Gusana inkweto zashaje,gusana inkweto zashaje,9523,9523,9523,4,4, Repair of footwear and leather goods,Repair of footwear and leather goods, Repair of footwear and leather goods,9523
Kudandaza imyenda,kudandaza imyenda,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
ubucuruzi bwiganjemo ibyo kunywa bidasembuye kudandaza,ubucuruzi bwiganjemo ibyo kunywa bidasembuye kudandaza,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUCURUZI BWA RESTORA,ubucuruzi bwa restora,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBUHINZI BW'IMBOGA,ubuhinzi bw'imboga,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
KUGABURA UBUSHERA,kugabura ubushera,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
Kudoda imyenda abaturage bazanye,kudoda imyenda abaturage bazanye,9529,9529,9529,4,4,Repair of other personal and household goods,Repair of other personal and household goods,Repair of other personal and household goods,9529
ubucuruzi bw'imboga kurubaraza rwa boutique,ubucuruzi bw'imboga kurubaraza rwa boutique,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
ubucuruzi,ubucuruzi,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubucuruzi budandaza ibintu bitandukanye higanjemo ibiribwa,ubucuruzi budandaza ibintu bitandukanye higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Acuruza ibyokurya biciriritse higanjemo icyayi namandazi,acuruza ibyokurya biciriritse higanjemo icyayi namandazi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
Guha abantu ibyo kurya no kunywa,guha abantu ibyo kurya no kunywa,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
Gutunganya ifu ikomoka kubinyampeke,gutunganya ifu ikomoka kubinyampeke,1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
Ubudandazi bwiganjemo amandazi na biscuits,ubudandazi bwiganjemo amandazi na biscuits,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
"gucuruza icyayi,amata,nibindi byokunywa bitandukanye byabana","gucuruza icyayi,amata,nibindi byokunywa bitandukanye byabana",5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
GUCURUZA IBYO KUNYWA BIRIMO TANGAWIZI,gucuruza ibyo kunywa birimo tangawizi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
kudandaza ibirayi nibishyisho bihiye gusa,kudandaza ibirayi nibishyisho bihiye gusa,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
KUDANDAZA IMYENDA MU ISOKO,kudandaza imyenda mu isoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
Ubudandazi bw'ibintu bitandukanye bw'iganjemo imyaka,ubudandazi bw'ibintu bitandukanye bw'iganjemo imyaka,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
cantine yamandazi nicyayi,cantine yamandazi nicyayi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBUBAJI BW IBIKORESHO BYO MUBITI,ububaji bw ibikoresho byo mubiti,1622,1622,1622,4,4,Manufacture of buildersÃ¢ÂÂ carpentry and joinery,Manufacture of builders' carpentry and joinery,Manufacture of buildersÃ¢ÂÂ carpentry and joinery,9999
UBUHIHINZI N'UBWOROZI BUTUNGA URUGO,ubuhihinzi n'ubworozi butunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
ubucuruzi bwuruconco,ubucuruzi bwuruconco,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
UBUHINZI BW'IBIRAYI,ubuhinzi bw'ibirayi,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
KUDANDAZA IBIRIBWA BIBISI MU ISOKO,kudandaza ibiribwa bibisi mu isoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
Ubucuruzi bwibinyobwa bisembuye nibidasembuye,ubucuruzi bwibinyobwa bisembuye nibidasembuye,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
gucuruza  umunyu,gucuruza umunyu,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
"ubudandazi bwibiribwa higanjemo,amakaroni,amasositomate","ubudandazi bwibiribwa higanjemo,amakaroni,amasositomate",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
KOGOSHA ABANTU,kogosha abantu,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
ubucuruzi bwibiribwa bwiganjemo amandazi,ubucuruzi bwibiribwa bwiganjemo amandazi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
CONSULTANCY AND CREDIT SERVICE,consultancy and credit service,7020,7020,7020,4,4,Management consultancy activities,Management consultancy activities,Management consultancy activities,5555
UBUHINZI BUGAMIJE GUTUNGA URUGO,ubuhinzi bugamije gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
UBUHINZI BWIBIJUMBA,ubuhinzi bwibijumba,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBUCURUZI BUDANDAZA IBIRIBWA BIBISI,ubucuruzi budandaza ibiribwa bibisi,4799,4799,4799,4,4,"Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets",4799
UBWUBATSI BWAMAZU,ubwubatsi bwamazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
UBUHINZI BWOROZI BUGAMIJE GUTUNGA URUGO,ubuhinzi bworozi bugamije gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
UBWUBATSI BW'AMAZU,ubwubatsi bw'amazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
ubucuruzi bujyanye nibiryo bibisi nibindi byamasuku boutick,ubucuruzi bujyanye nibiryo bibisi nibindi byamasuku boutick,4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
UBUHINZI BW'IBIGORI,ubuhinzi bw'ibigori,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
"gutunganya imisatsi,gukora inzara","gutunganya imisatsi,gukora inzara",9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
