description,isic_code,isic_label,isic_description
UBUHINZI BW'IMITEJA,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
ubucuruzi bwibiribwa bwiganjemo akawunga numuceri,4721,Specialised food shop,Retail sale of food in specialized stores
"ubucuruzi budandazi  (ubunyobwa,akawunga ,isukari,ubuto ,ubugali)",4721,Specialised food shop,Retail sale of food in specialized stores
Cantine iseriva icyayi n'amandazi,5610,Restaurants & food service,Restaurants and mobile food service activities
Ubudandaza bw'ibiribwa bwiganjemo Amandazi,4721,Specialised food shop,Retail sale of food in specialized stores
"kudandaza higanjemo ibiribwa nibyo kunwa : amandazi , nimigati , icyayi",5610,Restaurants & food service,Restaurants and mobile food service activities
KUGABURIRA ABANTU MURI CANYINE,5610,Restaurants & food service,Restaurants and mobile food service activities
ubucuruzi bw inkweto mu isoko,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
boutique idandaza yiganjemo ibikoresho,4719,"General shop, other goods",Other retail sale in non-specialized stores
Ubucuruzi bwiganjemo kudanaza ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURZI BWA BOUTIQUE YIGANJEMO IBIRIBWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi( butike)  ubuconco,4719,"General shop, other goods",Other retail sale in non-specialized stores
GURUZA IBINYOBWA BITANDUKANYE MUKABARI,5630,Bars & beverage serving,Beverage serving activities
ubucuruzi bwiganjemo ibyokurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
kwakiriza abantu ibinyobwa,5630,Bars & beverage serving,Beverage serving activities
"ubudandazi bwiganjemo ibitunguru ,amavuta ,umuceli",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
Gupima urwagwa(kudandaza),5630,Bars & beverage serving,Beverage serving activities
UBUCURUZI BWIBIKORESHO BWUBWUBATSI,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
"ubudandazi bwiganjemo, umunyu,isukari, ubuto, amazabune, amavuta yo kwisiga nibindi",4719,"General shop, other goods",Other retail sale in non-specialized stores
Ubucuruzi budandaza ibintu bitandukanye byiganjemo umunyu w'urugera,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Kudandazi bwiganjemo ibiribwa,4721,Specialised food shop,Retail sale of food in specialized stores
"Umucuruzi w' imbuto, nimboga",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
gucuruza urwagwa mu buryo budandaza,5630,Bars & beverage serving,Beverage serving activities
"Ubucuruzi budandaza(kawunga,umuceri,amavuta)",4721,Specialised food shop,Retail sale of food in specialized stores
gusya amafu,1061,Grain milling,Manufacture of grain mill products
Ubucuruzi budandaza ibyo kurya ibiribwa n' ibinyobwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"UBUCURUZI BWA VOKA MW,ISOKO",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
GUTEKA IBIDIYA ABIGABURI ABATURAGE,5610,Restaurants & food service,Restaurants and mobile food service activities
Nukogosha imisatsi,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
"UBUCURUZI BUDANDAZA BWIGANJEMO IBIRIBWA(IFU Y'UBUGALI,UMUCELI,UMUNYU,ISUKALI,BOMBO,SAMURE,BOMBO,BISCUITS)",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubudandazi bwibikoresho by' ubwubatsi,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
Kudandaza ibiribwa higanjemo ibirayi nibitoki kawunga namavuta yokurya,4721,Specialised food shop,Retail sale of food in specialized stores
UBUCURUZI BUDANDAZA IBINTU BITANDUKANYE HIGANJEMO IBYO KURYA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
kudandaza higanjemo ibiribwa nibikoresho by'isuku,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubucuruzi bw'uduconco,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubucuruzi bw'imiti y'amatungo,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
Ubudandazi bwa butike higanjemo ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwa boutique budandaza bwiganjemo inkweto za Bodabada,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
udundazi bwinkweto,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
"gushesha ibigori,amasaka,imyumbati (gusya)",1061,Grain milling,Manufacture of grain mill products
ubucuruzi bw ibiribwa,4721,Specialised food shop,Retail sale of food in specialized stores
Ubucuruzi budandaza ibiribwa higanjemo ibishyimbo,4721,Specialised food shop,Retail sale of food in specialized stores
gusya ibinyampeke nimyumbati,1061,Grain milling,Manufacture of grain mill products
ubucuruzi bw'amakara munzu y'ubucuruzi,4799,Street & mobile vending,"Other retail sale not in stores, stalls or markets"
gucurura spairparts,4773,Other specialised shop,Other retail sale of new goods in specialized stores
"ubudandazi bukorerwa muri boutique bwiganjemo ,ubunyobwa, soya,isabune",4719,"General shop, other goods",Other retail sale in non-specialized stores
Kudandaza ibicuruzwa byiganjemo ibyokurya no kunywa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzibudandaza bwiganjemo ibyo kurya: umunyu,isukari,umuceri,amavuta",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwibintu bitandukanye  bwiganjemo ibiribwa namavuta yokwisiga nayo kurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI BUDANDAZA BWIGANJEMO'IBIRIBWA MURI BOUTIQUE,4721,Specialised food shop,Retail sale of food in specialized stores
"ubudandazi bw'imyenda, inkweto n'ibiribwa nk'umuceri,akawunga,amavuta n'ibindi bijyanye nabyo",4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
ubucuruzi bwamakara,4773,Other specialised shop,Other retail sale of new goods in specialized stores
Ubucuruzi bw'inzoga zisembuye nizidasembuye,5630,Bars & beverage serving,Beverage serving activities
kogosha abantu bakuru na bana,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ubucuruzi budandaza ubuconco bbwiganjemo ibokoresho byokudoda,4719,"General shop, other goods",Other retail sale in non-specialized stores
UBUDANDAZA BWIBIRIBWA BWIGANJEMO IBIRIBWA,4721,Specialised food shop,Retail sale of food in specialized stores
Imirimo y'ubucuruzi bw'inzoga (urwarwa),5630,Bars & beverage serving,Beverage serving activities
ubucuruzi bwinganjemo ibyo kurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"Gucuruza umuceri ,isukari,amasabune,umunyu.",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Gucuruza amavuta yo kwisiga ni icyuma gisya cyu umuriro,1061,Grain milling,Manufacture of grain mill products
Ubudandazi bw'inzoga,5630,Bars & beverage serving,Beverage serving activities
Ubucuruzi budandaza bw'iganjemo ibyo kurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUDANDAZI BWIMYENDA MU MUHANDA,4799,Street & mobile vending,"Other retail sale not in stores, stalls or markets"
ubudandazi bwa butike bwiganjemo ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"acuruza;amafu,inzoga,isukare,umunyu,..",4719,"General shop, other goods",Other retail sale in non-specialized stores
KURIMA AHO BAZATERA IBIGORI,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
Ubucuruzi buranguza ibikoresho by'ubwubatsi byiganjemo MDF.,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
KOGOSHA NO GUTUNGANYA UMUSATSI,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ubicuruzi budandaza bwiganjemo amabati,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
IMIRIMO YA RESITORA,5610,Restaurants & food service,Restaurants and mobile food service activities
"kudandaza inyanya,intoryi nimboga",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
gupima urwarwa rw' ibitoki,5630,Bars & beverage serving,Beverage serving activities
"gucuruza ibinyobwa nibiribwa harimo fanta,amata,juice,cake,amandazi,capati",5610,Restaurants & food service,Restaurants and mobile food service activities
Ubuvuruzi bw'ubushera,5630,Bars & beverage serving,Beverage serving activities
boutique idandaza higanjemo i ibirayi,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
kudandaza inzagwa,5630,Bars & beverage serving,Beverage serving activities
Adoda imyenda mishya ndetse akanayisana,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
quincaillerie bacuruza amarangi,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
"Ubucuruzi bw,ubuconsho bwiganjemo  ibirayi",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
kudandaza- Inkweto,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
Ubucuruzi budanza ibinyobwa bisembuye bufite ahobubarizwa,5630,Bars & beverage serving,Beverage serving activities
amandazi,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUCURI BW'UBUDANDAZI BW 'IBIRAYI,4721,Specialised food shop,Retail sale of food in specialized stores
"ubucuruzi bw'ibiribwa bidahiye (ibirayi,ibitoki,...)",4721,Specialised food shop,Retail sale of food in specialized stores
"Guha abantu ibyo kurya higanjemo ibyo kurya ( ibitoki, inyama)",5610,Restaurants & food service,Restaurants and mobile food service activities
UBUCURUZI BUDANDAZA IBINTU BITANDUKANYE BWIGANJEMO  UBUNYOBWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"Gusana Tv,Radio",1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
UBUDANDAZI BW'AVOKA KU MUHANDA,4799,Street & mobile vending,"Other retail sale not in stores, stalls or markets"
UBUDANDAZI BWIMINEKE MU ISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUCURUZI BUDANDAZA IMYENDA YABANA MWIDUKA,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
"ubudandazi bwibiribwa higanjemo umunyu, amavuta yo kurya, ifu",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Nugucuruza ibirayi ifuyibigori numuceri,4721,Specialised food shop,Retail sale of food in specialized stores
Kudandaza inzoga muri butike,5630,Bars & beverage serving,Beverage serving activities
ubucuruzi bw'ubuconcho,4719,"General shop, other goods",Other retail sale in non-specialized stores
"ubucurizi budandaza ibiribwa higanjemo ibishyimbo,ifu yamasaka",4721,Specialised food shop,Retail sale of food in specialized stores
UBUHINZI N'UBWOROZI BYO GUTUNGA URUGORWE,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
bacyuruza ibinyobwa bisembuye badandaza,5630,Bars & beverage serving,Beverage serving activities
umurimo wo gucuruza ubushera,4773,Other specialised shop,Other retail sale of new goods in specialized stores
GUTANGA INZOGA BIPFUNDIKIYE,5630,Bars & beverage serving,Beverage serving activities
bacuruza badandaza ibintu bitandukanye higanjemo inkweto,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
"Ubucuruzi budandaza ibyiganjemo indagara,kawunga,umunyu,isukari,ubuto, amavuta yo kwisiga, amabase, amazi, isabune, juices nibindi bijyanye na boutique",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi bw,icyayi,amata,amandazi",5610,Restaurants & food service,Restaurants and mobile food service activities
kudandaza imboga dodo,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUREZI MU MASHURI YINSHUKE,8510,Primary education,Pre-primary and primary education
UBUCURUZI BWIBYO KURYA ( Cantine),5610,Restaurants & food service,Restaurants and mobile food service activities
"ubucuruzi budandaza butandukanye muri quantine higanjemo amandazi, icyayi",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi budandaza bwa butike,4719,"General shop, other goods",Other retail sale in non-specialized stores
ibyakurya biteguye,5630,Bars & beverage serving,Beverage serving activities
Akabali kagurisha inzoga z'amako atandukanye,5630,Bars & beverage serving,Beverage serving activities
UBUCURUZI BWIGAJEMO IBIRIBWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi budandaza bwiganjemo Ibirayi,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
BACURUZA URWAGWA RW'IBITOKI,5610,Restaurants & food service,Restaurants and mobile food service activities
ubucuruzi budandaza bodaboda,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
UBUCURUZI BUDANDAZA BWIMBOGA,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBWOROZI BUTUNGA URUGO,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
Akora sambusa zitwa indege,5610,Restaurants & food service,Restaurants and mobile food service activities
"ubucuruzi: inyanya, intoryi,ibitunguru",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"UBUDANDAZABWIBINTU BITANDUKANYE BWIGANJEMO UBUGENI IMITAKO ,AMAHERENA , IBYIBO, IBIKAPU NIBINDI..",4773,Other specialised shop,Other retail sale of new goods in specialized stores
"gucuruza imiti ivura amatungo: oxytetracycline,albendazole2500mg,phenlyject,multivitamine",4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
UBUDANDAZI BWIBITUNGURU,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"UBUCURUZI BUNDANDAZA BWIGANJEMO IBIRIBWA(IBIRAYI,INJANGA,IFU Y'UBUGALI,UMUNYU,BISCUITS,KAWUNGA)",4721,Specialised food shop,Retail sale of food in specialized stores
Gupima ubushera umusururu,5630,Bars & beverage serving,Beverage serving activities
Nugucuruza amakara,4799,Street & mobile vending,"Other retail sale not in stores, stalls or markets"
Gucuruza inzoga na brochettes,5630,Bars & beverage serving,Beverage serving activities
KUDODA IMYENDA ITANDUKANYE,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
Kogosha Umusatsi,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ADAMDAZA INKWETO MU ISOKO,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
ubucuruzi buranguza ibintu bitandukane,4719,"General shop, other goods",Other retail sale in non-specialized stores
Ubucuruzi bwibinyampeke higanjemo amafu amavuta nibirungo,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUDANDSAZI BWIGANJEMO IBIRIBWA NIBYO KUNYWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Adandaza inzoga zipfundikiye,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI BW'IBINYOBWA,5630,Bars & beverage serving,Beverage serving activities
"butike yiganjemo icyo inyobwa amavuta biswi,....",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuru bw'biribwa nubuconco,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubucuruzi budandaza ibiribwa(ibitoki),4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
Acuruza utuntu dutandukanye kugatanda yateye mugasoko gato karema nimugoroba. Ni ibiribwa gusa,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"ubucuruzi, bw'amashuka, ibiringiti",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI BURANGUZA IBIRIBWA MU IDUKA,4630,Wholesale of food & drinks,"Wholesale of food, beverages and tobacco"
UBUCURUZI BW'INZOGA Z'DAPFUNDIKIYE,5630,Bars & beverage serving,Beverage serving activities
IFUMBIRE YO GUHINGA,4773,Other specialised shop,Other retail sale of new goods in specialized stores
"ubudandazi bw'ibiryo(imigati,umutobe n'icyayi)",5610,Restaurants & food service,Restaurants and mobile food service activities
ubucuruzi bwibinyobwa bisembuye mu kabari,5630,Bars & beverage serving,Beverage serving activities
UBUCURUZI BW'IKINYOBWA CY'URWAGWA,5630,Bars & beverage serving,Beverage serving activities
boutique,4719,"General shop, other goods",Other retail sale in non-specialized stores
"GUCURUZA INZOGA ZIGANJEMO IZA BRARIRWA PRIMUS,MEETING SCKOL",5630,Bars & beverage serving,Beverage serving activities
uburezi mu bwincuke na mashuri abanza,8510,Primary education,Pre-primary and primary education
Ubuduzi buciriritse,4719,"General shop, other goods",Other retail sale in non-specialized stores
Ubucuruzi bw'Ibwo kurya,4721,Specialised food shop,Retail sale of food in specialized stores
kadandaza boutique  higanjemo isabune,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ubudandazi bw'amasaha yo kwambara,4773,Other specialised shop,Other retail sale of new goods in specialized stores
"UBUCURUZI BW""' AMAKARA",4773,Other specialised shop,Other retail sale of new goods in specialized stores
"ubucuruzi bundaza bwiganjemo omo,salisa,ifu y'igikoma,etc",4773,Other specialised shop,Other retail sale of new goods in specialized stores
KUDANDAZA IBINTU BITADUKANYE MURI BUTIKE HIGANJEMO IBIRIBWA,4719,"General shop, other goods",Other retail sale in non-specialized stores
GUCURUZA UBUCONCO MURI BOUTIQUE,5610,Restaurants & food service,Restaurants and mobile food service activities
"Ubucuruzi budandaza bwiganjemo ibikomoka kufarini,Imbuto",5610,Restaurants & food service,Restaurants and mobile food service activities
"UBUCURUZI BUDANDAZA BWIGANJEMO IBIRIBWA : UMUCERI, IBIRAYI, UBUGARI,...",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
KUDANDAZA GAZ,4773,Other specialised shop,Other retail sale of new goods in specialized stores
"Gucuruza ibiryo bitetse byiganjemo : ibitoki,inyama,umuce,imboga, burusheti,umureti....",5610,Restaurants & food service,Restaurants and mobile food service activities
kudandaza imiti yomubuhinzi nubworozi,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ubucuruzi bwa capati.amasambusa,4721,Specialised food shop,Retail sale of food in specialized stores
Kurangura ibiribwa ibinyobwa n ibikoresho by isuku,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"Kundandaza imyenda,inkweto,ibiribwa birimo umuceli,umunyu n'isukali muri boutique",4721,Specialised food shop,Retail sale of food in specialized stores
Gutunganya inzara,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
KWIGISHA MURI PRIMARY,8510,Primary education,Pre-primary and primary education
"BOUTIQUE IDANDAZA IBINTU  BITANDUKANYE HIGANJEMO IBIRIBWA ( UMUCER,ISUKALI,IFU Y'IMYUMBATI)",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwimisururu,5630,Bars & beverage serving,Beverage serving activities
"Service z,ibiribwa n,ibinyobwa",4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi bwibiribwa bitekwa,4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi budandaza bw'ibinyobwa bisembuye,5630,Bars & beverage serving,Beverage serving activities
Ubucuruzi buranguza bwiganjemo ibyo kurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Kudandaza icyayi n'amandazi baha service abantu,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUHINZI IBIGORI,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
ubudandaza bwibiribwa bitandukanye byiganjemo ibirayi  ninyanya,4721,Specialised food shop,Retail sale of food in specialized stores
Kudandaza ibicuruzwa muri butike,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubucuruzi bw'ibyu bwubatsi,4719,"General shop, other goods",Other retail sale in non-specialized stores
"Ubucuruzi bw'amasabune, umunyu,isukari nibindi muri butike",4773,Other specialised shop,Other retail sale of new goods in specialized stores
ubucuruzi bwimyenda ninkweto,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
